Learning Rate,Epochs,Threshold,Accuracy
0.01,500,0.4,0.5636080724254998
0.01,500,0.5,0.5354111655978876
0.01,500,0.6,0.5152772538664655
0.01,1000,0.4,0.6048189362504716
0.01,1000,0.5,0.5613447755563938
0.01,1000,0.6,0.5312617880045266
0.01,1500,0.4,0.6459826480573369
0.01,1500,0.5,0.5958129007921539
0.01,1500,0.6,0.5534703885326292
0.1,500,0.4,0.534326669181441
0.1,500,0.5,0.5322519803847605
0.1,500,0.6,0.5307902678234628
0.1,1000,0.4,0.546161825726141
0.1,1000,0.5,0.544134288947567
0.1,1000,0.6,0.5422953602414183
0.1,1500,0.4,0.5684175782723501
0.1,1500,0.5,0.5660599773670313
0.1,1500,0.6,0.5631837042625424
1.0,500,0.4,0.5334307808374198
1.0,500,0.5,0.5332421727649943
1.0,500,0.6,0.5332893247831008
1.0,1000,0.4,0.543898528857035
1.0,1000,0.5,0.543898528857035
1.0,1000,0.6,0.5437570728027159
1.0,1500,0.4,0.5663900414937759
1.0,1500,0.5,0.5662957374575632
1.0,1500,0.6,0.5660599773670313
